id,total_cases
1,2228
2,2628
3,3778
4,5751
5,8483
6,11720
7,22328
8,24686
9,32958
10,39721
11,48171
12,67169
13,79571
14,95620
15,110600
16,123248
17,137504
18,148433
19,160553
20,170847
21,179022
22,180614
23,241222
24,267248
25,275687
26,284279
27,292221
28,299573
29,301415
30,303633
31,306170
32,313260
33,314768
34,317114
35,320632
36,324649
37,330265
38,336276
39,344111
40,354340
41,362769
42,373824
43,384013
44,396084
45,413362
46,431991
47,449655
48,470018
49,491991
50,526553
51,557759
52,619986
53,670963
54,723311
55,791293
56,861670
57,942795
58,1068024
59,1202264
60,1350878
61,1505375
62,1699385
63,1888928
64,2119867
65,2395064
66,2680185
67,2987889
68,3237673
69,3524843
70,3868778
71,4224192
72,4580921
73,4947303
74,5195026
75,5505351
76,5823189
77,6114427
78,6466892
79,6839058
80,7209772
81,7532760
82,8075314
83,8378751
84,8746275
85,9078473
86,9489246
87,9861037
88,10191186
89,10516497
90,10832957
91,11154126
92,11498846
93,11842618
94,12182425
95,12529822
96,12823694
97,13118583
98,13433207
99,13750520
100,14094766
101,14460023
102,14780530
103,15082997
104,15398268
105,15723821
106,16096818
107,16459733
108,16829358
109,17173967
110,17479762
111,17790256
112,18138227
113,18480847
114,18869793
115,19260672
116,19641647
117,19958398
118,20318704
119,20706452
120,21133047
121,21560588
122,21995496
123,22417584
124,22793361
125,23148287
126,23523756
127,23937254
128,24424168
129,24915471
130,25462560
131,25877171
132,26280996
133,26775661
134,27220900
135,27781137
136,28320412
137,28842579
138,29289601
139,29704963
140,30214063
141,30766819
142,31314720
143,31829184
144,32369044
145,32899690
146,33401789
147,33982784
148,34559984
149,35136116
150,35864935
151,36612389
152,36987466
153,37559226
154,38237190
155,38927939
156,39650334
157,40425609
158,41135421
159,41811707
160,42425098
161,43164283
162,44028638
163,44851457
164,45665725
165,46427745
166,47174029
167,47849411
168,48691354
169,49556233
170,50457341
171,51395027
172,52249946
173,53023859
174,53806149
175,54694746
176,55616451
177,56602045
178,57558269
179,58503348
180,59353176
181,60194374
182,61172853
183,62280087
184,63407482
185,64550306
186,65555404
187,66406913
188,67355661
189,68419995
190,69510123
191,70647262
192,71808551
193,72799457
194,73726414
195,74566018
196,75640395
197,76751763
198,77911800
199,79056115
200,80123985
201,81061701
202,82011882
203,83087127
204,84200082
205,85378940
206,86624440
207,87631681
208,88479546
209,89351652
210,90404169
211,91531484
212,92637988
213,93706075
214,94773451
215,95594995
216,96533487
217,97533023
218,98675240
219,99854460
220,101015263
221,102072994
222,102962864
223,104051824
224,105140299
225,106291311
226,107458734
227,108693412
228,109808203
229,110738208
230,111645411
231,112656812
232,113824701
233,115075224
234,116373706
235,117553445
236,118563214
237,119673418
238,120826342
239,122081203
240,123383167
241,124733816
242,125936073
243,126979934
244,128067900
245,129243507
246,130531725
247,131861865
248,133231327
249,134408202
250,135422580
251,136522912
252,137681204
253,139033961
254,140357971
255,141726923
256,142959570
257,144034845
258,145328826
259,146643944
260,148103272
261,149611595
262,151132662
263,152630731
264,153841860
265,155070568
266,156419113
267,158034234
268,159773838
269,161527292
270,163122312
271,164539659
272,166144247
273,167807929
274,169700459
275,171795501
276,173942677
277,175930008
278,177473389
279,179619316
280,181656741
281,183930592
282,186350299
283,188868356
284,190939347
285,192854711
286,195297974
287,197774191
288,199879887
289,202592174
290,205321768
291,207967756
292,210087923
293,212290395
294,214738231
295,217453684
296,220226023
297,223083211
298,225607308
299,227712935
300,229959204
301,232553914
302,235224378
303,238029253
304,240919086
305,243454039
306,245564213
307,247797028
308,250320039
309,252935393
310,255470550
311,258403810
312,260964549
313,263046173
314,265146141
315,267721151
316,270412321
317,273324171
318,276257353
319,278958233
320,281234863
321,283452852
322,286092157
323,288893367
324,295027783
325,298014507
326,300751201
327,303016249
328,305312784
329,308032740
330,311067018
331,314185063
332,317237217
333,319919704
334,322215426
335,324494857
336,327241649
337,330124922
338,333070886
339,335268061
340,337355186
341,339068189
342,341141076
343,343970365
344,347050351
345,350592296
346,353083670
347,355471842
348,357630143
349,359954365
350,363095269
351,366425044
352,370113490
353,373643121
354,376814234
355,379329901
356,381913923
357,384824942
358,387972997
359,391189806
360,394490425
361,397234767
362,399430715
363,401631551
364,404143764
365,407055817
366,409897780
367,412713286
368,415133301
369,417068760
370,419136118
371,421512843
372,424078371
373,426691163
374,429193480
375,431354290
376,433022607
377,434918366
378,436897818
379,439138508
380,441138150
381,443437674
382,445270540
383,446751528
384,448195899
385,449918608
386,451798223
387,453693329
388,455522670
389,457131169
390,458432384
391,459622536
392,461150928
393,462807654
394,464569311
395,466325562
396,467925355
397,469286004
398,470533230
399,472209033
400,474122462
401,476069799
402,477967629
403,479673911
404,481003203
405,482295920
406,483583880
407,485491030
408,487465227
409,489404698
410,491185008
411,492783940
412,494071774
413,495850899
414,497835570
415,499956606
416,502065561
417,504038778
418,505618839
419,507116611
420,509121325
421,511476830
422,513847815
423,516272673
424,518424969
425,520324395
426,522117474
427,524275658
428,526995597
429,529810755
430,532571468
431,535087365
432,537201952
433,539138470
434,541536015
435,544444836
436,547490898
437,550246084
438,552534453
439,554940888
440,557000633
441,559516419
442,562277879
443,565855000
444,568986317
445,571787965
446,574829310
447,577375038
448,580572472
449,583991404
450,587440604
451,591037058
452,594342137
453,597244817
454,600084282
455,603571934
456,607284472
457,611033420
458,614805652
459,618218513
460,621221656
461,624042857
462,627513427
463,631235278
464,634939534
465,638619559
466,641891403
467,644703368
468,647517352
469,650747396
470,654218447
471,657816001
472,661252975
473,664486070
474,667136084
475,669683967
476,672666913
477,675825123
478,678843266
479,681747029
480,684325891
481,686555746
482,688765745
483,691304118
484,694064972
485,694892044
486,697450666
487,699782021
488,701740066
489,703570320
490,705740440
491,708056798
492,710293063
493,712358341
494,714313806
495,715898797
496,717467904
497,719338135
498,721315291
499,723285506
500,725015038
501,726622845
502,727932413
503,729237676
504,730744360
505,732444076
506,734289983
507,735999454
508,737487475
509,738709610
510,739961723
511,741476638
512,743048344
513,744647826
514,746275560
515,747679256
516,748900107
517,750098252
518,751754362
519,753357397
520,755008310
521,756693691
522,758154254
523,759405016
524,760753026
525,762297232
526,763913687
527,765681897
528,767476107
529,768986364
530,770309570
531,771859229
532,773693279
533,775593195
534,777562080
535,779667091
536,781380591
537,782884540
538,784668510
539,786848628
540,789057735
541,791431161
542,793885868
543,795885271
544,797605312
545,799637211
546,801839201
547,804140630
548,806482685
549,809471294
550,811253430
551,813072108
552,815312052
553,817816291
554,820499801
555,823151071
556,826156872
557,828278506
558,830253035
559,832605623
560,835212826
561,838014390
562,840832141
563,844185176
564,846489779
565,848410525
566,850933868
567,853589324
568,856594256
569,859497882
570,862781143
571,865064407
572,866989654
573,869669378
574,872467173
575,875490092
576,878411450
577,881625248
578,883944814
579,885803464
580,888543322
581,891321498
582,894348421
583,897364422
584,900423048
585,902758574
586,904616005
587,907284272
588,909813945
589,912775517
590,915545336
591,918507540
592,920579978
593,922443320
594,924317162
595,926998665
596,929603716
597,932231792
598,934926317
599,936882673
600,938427295
601,940712904
602,942971894
603,945288642
604,947702115
605,950249363
606,952417103
607,953926169
608,956027020
609,958032872
610,960225937
611,962470607
612,964718947
613,966280375
614,967762850
615,969677821
616,971535357
617,973558944
618,975577703
619,977723177
620,979200857
621,980495262
622,982272560
623,984018504
624,986116283
625,988027537
626,989996016
627,991440503
628,992772621
629,994316109
630,996134661
631,998036049
632,999927932
633,1001839398
634,1003308809
635,1004640362
636,1006340067
637,1008150761
638,1010158891
639,1012110199
640,1014189175
641,1015814131
642,1017169886
643,1018956141
644,1020764128
645,1022952438
646,1025015373
647,1027128346
648,1028816054
649,1030356178
650,1032119894
651,1033831436
652,1036092737
653,1038342712
654,1040603749
655,1042511898
656,1044067415
657,1046086647
658,1048100079
659,1050623659
660,1052902057
661,1055490777
662,1057423726
663,1059079471
664,1061357030
665,1063572903
666,1066305142
667,1069047845
668,1071755942
669,1073986837
670,1075848533
671,1078491129
672,1081071587
673,1084018794
674,1086711820
675,1089460761
676,1091637387
677,1093556520
678,1096304925
679,1098960832
680,1102090727
681,1105227053
682,1108457332
683,1110850958
684,1112880435
685,1115461811
686,1118304033
687,1121456383
688,1124549031
689,1127604222
690,1129911440
691,1131907758
692,1134552137
693,1137358152
694,1140612130
695,1143863319
696,1147214264
697,1149720942
698,1151941695
699,1155098514
700,1158403813
701,1162372999
702,1166763662
703,1170612914
704,1173708060
705,1176137970
706,1181617547
707,1187459534
708,1194890395
709,1203408287
710,1211012641
711,1216463428
712,1220352296
713,1230492024
714,1241367089
715,1252675618
716,1264129629
717,1276919930
718,1286409255
719,1295214669
720,1308713717
721,1321955182
722,1336915050
723,1350645281
724,1365025609
725,1375840882
726,1385243833
727,1396690256
728,1413039585
729,1430748724
730,1446938468
731,1463616136
732,1475853644
733,1486521384
734,1501218061
735,1517344449
736,1533472672
737,1550003529
738,1565848391
739,1577910838
740,1588030807
741,1602891936
742,1616886440
743,1630991645
744,1644926314
745,1657766606
746,1667903863
747,1676079268
748,1687534449
